,Dónde estás trabajando,Cantidad de personas en tu organización,Actividad principal,Salario mensual o retiro BRUTO (en tu moneda local),Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Plataformas,Lenguajes de programación o tecnologías.,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,Beneficios extra
238,La Pampa,1 (solamente yo),Servicios / Consultoría de Software / Digital,2859,8365,4200,5779,4208,"Azure,Google Cloud Platform/App Engine,Kubernetes","COBOL,Erlang,Rust,Swift","Django,WordPress",Microsoft SQL Server,"Appium,Jest,TFS",Visual Studio Code,
239,Santiago del Estero,2-10,Otras industrias,4159,9016,7320,4129,3554,"Amazon Web Services,Azure,HP-UX","COBOL,Matlab,Objective-C,R","Django,Flutter,Node.js","Oracle,Teradata","HP LoadRunner,OpenQA,Telerik Studio","Komodo,Nano,PyCharm,Sublime Text,Vim","Comidas pagas / subvencionadas,Sueldo divido en dos pagos por mes"
240,Neuquén,1001-2000,Servicios / Consultoría de Software / Digital,8536,4226,7178,1333,1758,OpenShift,".NET,COBOL,Solidity,SQL,TypeScript","CodeIgniter,Vue.js","Amazon DynamoDB,Apache HBase,Cassandra","Lippia,Mocha,Telerik Studio","IntelliJ,NetBeans","Descuento en gimnasios / Clases de gimnasia online,Sueldo divido en dos pagos por mes,Vacaciones flexibles (adicionales a las reglamentarias)"
241,Formosa,2001-5000,Servicios / Consultoría de Software / Digital,8530,9427,2009,6827,9611,"AIX,Heroku","COBOL,Matlab,Objective-C,R",,Amazon DynamoDB,Postman,"IPython / Jupyter,Nano","Capacitaciones y/o cursos,Viáticos"
242,Neuquén,101-200,Producto basado en Software,8116,6235,4548,4516,3750,"Firebase,Microcontroladores","PHP,Python,Smalltalk",,,NUnit,"IPython / Jupyter,NetBeans,Notepad++","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
243,Chubut,11-50,Producto basado en Software,8097,629,8600,8234,9937,"HP-UX,Mainframe","Clojure,Solidity","Spring,Symfony","IBM Db2,Oracle","Lippia,Katalon","Atom,Notepad++,Sublime Text",Vacaciones flexibles (adicionales a las reglamentarias)
244,Córdoba,2001-5000,Otras industrias,1759,9908,1088,9012,4520,"AIX,Arduino o similar,Firebase,OpenStack","CSS,Java,Rust","Django,SAP","Amazon Redshift,Amazon RDS/Aurora,Apache Hive,MariaDB,Oracle,Percona XtraDB Cluster","Lippia,OpenQA","Eclipse,Komodo",Sueldo divido en dos pagos por mes
245,Mendoza,51-100,Producto basado en Software,1201,4931,7116,8299,3604,Arduino o similar,"C++,Clojure,Erlang,Javascript,R","Spark,TensorFlow","Microsoft SQL Server,MongoDB","Postman,Silktest","Android Studio,Coda,Eclipse,Sublime Text,Vim",
246,Córdoba,2001-5000,Servicios / Consultoría de Software / Digital,2708,1252,6720,251,8105,Microcontroladores,Matlab,,"Google Cloud Storage,Informix,Microsoft Azure (Tables, CosmosDB, SQL, etc)","Cypress,Ranorex",IPython / Jupyter,
247,Jujuy,51-100,Producto basado en Software,4970,6367,7262,2268,2334,Mainframe,Dart,"Akka,Hadoop,Symfony,Vue.js,WordPress","Amazon DynamoDB,MariaDB,MongoDB",,"TextMate,Zend",
248,Ciudad Autónoma de Buenos Aires,1001-2000,Servicios / Consultoría de Software / Digital,6077,5124,2993,9834,6459,Mainframe,"Arduino,Bash/Shell,Go,Groovy,VBA","Django,Rails,React.js","Aerospike,Apache Hive,Cassandra,Google Cloud Storage,HANA,Percona XtraBackup","Cucumber,HP UFT,Postman,SoapUI","IPython / Jupyter,TextMate,Vim,Visual Studio","Abono de Internet,Horarios flexibles,Lactario en la oficina,Viáticos"
249,Chubut,101-200,Otras industrias,5022,4183,5442,7747,8350,"Azure,SAP,VMWare","Assembler,C,COBOL,Smalltalk,SQL",Node.js,"MariaDB,Microsoft Azure (Tables, CosmosDB, SQL, etc)",Visual Studio Coded UI,"Atom,NetBeans,Vim,WebStorm,Zend","Capacitaciones y/o cursos,Estacionamiento gratuito / subvencionado,Horarios flexibles,Lactario en la oficina,Stock options / RSUs"
250,Chubut,1001-2000,Producto basado en Software,3272,6751,6131,1787,1724,"Arduino o similar,*BSD,Google Cloud Platform/App Engine","Dart,Elixir,Erlang,Perl",".NET Core,Angular,Bootstrap,Spring",Percona Server,Appium,"Coda,Emacs,IntelliJ",Viáticos
251,Misiones,1001-2000,Producto basado en Software,8660,1279,5515,9642,4344,,"Erlang,HTML,Javascript,Objective-C",Flutter,"Amazon DynamoDB,Amazon RDS/Aurora,Percona XtraDB Cluster","Appium,Cypress,HP UFT","Android Studio,Notepad++,Xcode",Viáticos
252,Catamarca,1 (solamente yo),Otras industrias,9210,8584,6139,772,6948,AIX,"Bash/Shell,Go,Groovy,Matlab,Objective-C,Smalltalk","CodeIgniter,Cordova,Hadoop,Hibernate,Node.js","Amazon Redshift,MongoDB,ProxySQL,Sybase","Cypress,Karma,Telerik Studio",Nano,
253,Río Negro,51-100,Otras industrias,7420,3363,1236,9559,9139,OpenStack,"C++,Clojure,CSS,Ruby,Smalltalk,SQL,TypeScript",CodeIgniter,"Amazon RDS/Aurora,Microsoft Azure (Tables, CosmosDB, SQL, etc),PostgreSQL,Teradata",,WebStorm,"Clases de idiomas,Lactario en la oficina"
254,La Rioja,201-500,Producto basado en Software,6064,9668,7672,2321,445,"HP-UX,SAP",".NET,SQL,TypeScript","Bootstrap,Flask,jQuery","Microsoft Azure (Tables, CosmosDB, SQL, etc),PostgreSQL",,"Android Studio,Emacs,IntelliJ,Vim","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Vacaciones flexibles (adicionales a las reglamentarias)"
255,Ciudad Autónoma de Buenos Aires,11-50,Otras industrias,559,6926,7590,5313,6077,Amazon Web Services,"C++,Clojure,CSS,Objective-C,Perl,PHP","Bootstrap,CodeIgniter,Flask,Node.js,Spring","Amazon DynamoDB,Cassandra,PostgreSQL,Redis","Mocha,OpenQA,Selenium,Visual Studio Coded UI",Android Studio,
256,Entre Ríos,1 (solamente yo),Servicios / Consultoría de Software / Digital,7473,9717,9341,8355,8963,"Heroku,OpenShift","Javascript,Solidity",".NET Core,React.js,Torch","ElasticSearch,Neo4j,Oracle","Jest,JUnit,Watir","Nano,Zend",
257,Misiones,501-1000,Otras industrias,9733,7227,864,2068,5362,"Amazon Web Services,Linux",".NET,Assembler,Kotlin,Objective-C,TypeScript","React.js,SwiftUI","Cassandra,Google Cloud Storage,HANA,IBM Db2,MongoDB,SQLite","Lippia,PHPUnit,Postman,Puppeteer,TFS","Eclipse,Nano,Notepad++,PyCharm,Zend","Descuento en gimnasios / Clases de gimnasia online,Cuota para universidad / posgrados"
258,Mendoza,11-50,Servicios / Consultoría de Software / Digital,2381,9552,9808,9618,2575,"Docker,OpenStack,SAP","ABAP,CSS,Erlang,Javascript,Perl,VBA","Bootstrap,Node.js",Redis,"Test Complete,TFS","Emacs,IntelliJ",
259,Tucumán,2001-5000,Servicios / Consultoría de Software / Digital,2806,6341,966,7439,7744,"Google Cloud Platform/App Engine,Windows Server","Java,Perl","Drupal,Rails,SAP","Amazon Redshift,IBM Db2,Oracle,Percona XtraBackup,Percona XtraDB Cluster,Percona Server","Cucumber,OpenQA,Selenium,Telerik Studio",Visual Studio Code,"Abono de celular,Comidas pagas / subvencionadas,Stock options / RSUs"
260,San Juan,10001+,Otras industrias,7306,7639,8761,2703,4532,"OpenStack,Serverless",CSS,".NET Core,Node.js","Amazon Redshift,IBM Db2","Cucumber,Postman",NetBeans,"Horarios flexibles,Sueldo divido en dos pagos por mes"
261,Córdoba,10001+,Otras industrias,6720,3943,278,4888,7174,"Kubernetes,Serverless","Javascript,Matlab,SQL",CodeIgniter,"Cassandra,Google Cloud Storage,Microsoft SQL Server,SQLite","Jest,Karma,Mocha,RSpec",WebStorm,
262,GBA,2001-5000,Servicios / Consultoría de Software / Digital,7884,5899,5532,5354,8960,Windows Server,"SQL,VBA","Django,Flask","Aerospike,Amazon DynamoDB,Amazon Redshift,Google Cloud Storage,Percona Server","Cypress,Katalon,NUnit","Eclipse,IPython / Jupyter,TextMate","Estacionamiento gratuito / subvencionado,Sueldo divido en dos pagos por mes,Viáticos"
263,Catamarca,101-200,Otras industrias,4215,1252,4617,8576,2283,"Amazon Web Services,*BSD","COBOL,Erlang,Kotlin,Objective-C",".NET Core,Drupal,TensorFlow",ProxySQL,"Appium,Karma,PHPUnit","PyCharm,Sublime Text","Abono de Internet,Comidas pagas / subvencionadas,Estacionamiento gratuito / subvencionado"
264,San Luis,101-200,Producto basado en Software,3536,7946,8357,5082,5922,"Heroku,Kubernetes,Mainframe,SAP","C++,C#,Matlab,Rust,VBA","Bootstrap,Node.js","Oracle,Percona Server","Cypress,TFS",Emacs,Abono de celular
265,Catamarca,11-50,Servicios / Consultoría de Software / Digital,5811,4564,1739,4414,7728,"*BSD,Kubernetes,OpenStack",".NET,C,COBOL,CSS,R,Smalltalk,Swift","SAP,Spring","Microsoft Azure (Tables, CosmosDB, SQL, etc),MongoDB","Puppeteer,Silktest","Atom,Komodo,Vi,Visual Studio,Visual Studio Code,Xcode",Sueldo divido en dos pagos por mes
266,Tucumán,501-1000,Producto basado en Software,8608,4969,4891,4594,6442,,"CSS,Solidity","Akka,Angular,Symfony",IBM Db2,"Appium,Jest,Puppeteer,RSpec",WebStorm,
267,La Pampa,201-500,Producto basado en Software,4035,9767,3313,9879,3868,"AIX,Mainframe,Solaris,Serverless","HTML,Perl",,Amazon RDS/Aurora,,Vi,Comidas pagas / subvencionadas
268,Santiago del Estero,501-1000,Producto basado en Software,9417,6319,1588,894,7515,SAP,"Clojure,COBOL,Dart",".NET Core,CodeIgniter,jQuery","Apache Hive,Percona XtraDB Cluster","Appium,Katalon,NUnit","IntelliJ,NetBeans","Abono de celular,Comidas pagas / subvencionadas"
269,San Luis,51-100,Servicios / Consultoría de Software / Digital,64,2024,9319,2274,844,"OpenStack,Windows Server","Bash/Shell,Delphi,Swift,VBA",,"Microsoft SQL Server,Oracle","HP UFT,Lippia",Nano,Viáticos
270,Entre Ríos,11-50,Servicios / Consultoría de Software / Digital,8908,225,4434,7906,8054,,"Clojure,Go,HTML,Objective-C",WordPress,"Amazon DynamoDB,ElasticSearch","JUnit,NUnit,SoapUI","IntelliJ,NetBeans,Notepad++",Estacionamiento gratuito / subvencionado
271,Santa Cruz,5001-10000,Otras industrias,2557,3276,8377,5111,3400,"Docker,Heroku,SAP","Arduino,COBOL,Erlang,Kotlin","Bootstrap,TensorFlow,Vue.js","ElasticSearch,PostgreSQL","Cypress,Lippia,RSpec,Selenium,Xunit","PyCharm,Vi,Visual Studio,WebStorm","Abono de celular,Viáticos"
272,GBA,2-10,Servicios / Consultoría de Software / Digital,3208,8455,8010,4259,2837,Arduino o similar,PHP,"CodeIgniter,Flask,Flutter","Amazon Redshift,Apache Hive,Redis,SQLite",Ranorex,Notepad++,
273,La Pampa,201-500,Producto basado en Software,2552,3786,6611,3695,1550,"Amazon Web Services,Windows Server","C,Clojure,Delphi,HTML,Objective-C","Django,Drupal,React.js","Apache Hive,Cassandra,ElasticSearch,Oracle,Percona XtraBackup,ProxySQL","Cypress,Jest,Selenium,Test Complete,TFS,Visual Studio Coded UI","Emacs,Nano,PHPStorm,RStudio,TextMate,Xcode,Zend",
274,Ciudad Autónoma de Buenos Aires,101-200,Otras industrias,3688,6015,7600,6042,5162,"*BSD,Google Cloud Platform/App Engine,Kubernetes","Clojure,Matlab","Angular,Flutter,Hadoop,Laravel,Symfony","Amazon DynamoDB,HANA","NUnit,Ranorex,Xunit","Atom,IntelliJ,NetBeans,Xcode",Abono de Internet
275,Tierra del Fuego,5001-10000,Servicios / Consultoría de Software / Digital,6430,1818,7032,1039,2788,"Firebase,Windows Server",".NET,ABAP,Erlang,Kotlin,VBA",Drupal,"MongoDB,MySQL,Neo4j","Cypress,Katalon,Ranorex","Visual Studio,Zend","Abono de celular,Clases de idiomas,Vacaciones flexibles (adicionales a las reglamentarias),Viáticos"
276,Mendoza,201-500,Servicios / Consultoría de Software / Digital,7893,5899,5981,5604,2106,"Azure,*BSD,Docker","C#,Erlang,Matlab,R,Swift","Flask,Flutter,React.js",,"Lippia,PHPUnit,Test Complete,TFS,Watir",,
277,Mendoza,2001-5000,Producto basado en Software,8649,5342,1422,2414,7862,"Firebase,Heroku,IBM Cloud / Watson","Assembler,C++,Groovy,HTML,R,VBA","Spring,WordPress","Amazon Redshift,Google Cloud Storage,Neo4j","Appium,NUnit,Postman,TFS",PHPStorm,
278,Misiones,501-1000,Servicios / Consultoría de Software / Digital,6125,8849,5920,5269,3070,,"Arduino,C,Delphi,Scala","Cordova,TensorFlow",,"Cypress,Selenium",Eclipse,"Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Lactario en la oficina"
279,San Juan,11-50,Otras industrias,5461,9238,4454,8186,4442,"Google Cloud Platform/App Engine,Microcontroladores,VMWare,Windows Server","Kotlin,Matlab,VBA",,"ElasticSearch,Neo4j,Percona XtraBackup,SQLite","Ranorex,Silktest,Test Complete",,"Stock options / RSUs,Sueldo divido en dos pagos por mes"
280,Río Negro,10001+,Servicios / Consultoría de Software / Digital,6767,9274,1629,1241,3113,"Google Cloud Platform/App Engine,Serverless",Smalltalk,"Akka,CodeIgniter,Laravel,React.js",Amazon Redshift,"Appium,Cypress","Coda,IntelliJ,Visual Studio",Horarios flexibles
281,Santa Cruz,501-1000,Otras industrias,9075,1047,6635,3529,7723,"Docker,Linux",".NET,C,Erlang",Django,"Apache Hive,ElasticSearch,PostgreSQL,ProxySQL","Cypress,JUnit","Nano,Visual Studio","Comidas pagas / subvencionadas,Estacionamiento gratuito / subvencionado,Horarios flexibles,Viáticos"
282,Misiones,2001-5000,Otras industrias,9231,2078,4725,194,1020,,"C,Groovy,Scala,TypeScript",".NET Core,Akka,CodeIgniter,React.js,WordPress","Amazon Redshift,Apache HBase","Postman,Visual Studio Coded UI",,"Abono de celular,Clases de idiomas,Viáticos"
283,Mendoza,5001-10000,Servicios / Consultoría de Software / Digital,5258,3035,4427,5593,8259,"Kubernetes,SAP","ABAP,Assembler,C,Kotlin,Matlab",React.js,"IBM Db2,Neo4j,PostgreSQL",Karma,TextMate,Cuota para universidad / posgrados
284,Tierra del Fuego,1001-2000,Otras industrias,3884,510,5923,9985,5371,Microcontroladores,"Dart,Elixir,PHP,R,Solidity","Akka,Hibernate,Vue.js",MariaDB,"Karma,Puppeteer,Telerik Studio",RStudio,Horarios flexibles
285,Salta,51-100,Servicios / Consultoría de Software / Digital,5990,580,2442,9836,8230,Docker,"Perl,Ruby,VBA","Django,Drupal,Hibernate","Amazon RDS/Aurora,Apache Hive,SQLite","Cypress,OpenQA,RSpec,Telerik Studio",PHPStorm,
286,Entre Ríos,1001-2000,Servicios / Consultoría de Software / Digital,2843,7083,9095,4194,1192,"Arduino o similar,Azure,Firebase",Smalltalk,"Rails,React.js","Apache Hive,ElasticSearch,Neo4j","HP LoadRunner,Silktest","Coda,Emacs,Komodo,Notepad++,PHPStorm",Stock options / RSUs
287,Chaco,101-200,Servicios / Consultoría de Software / Digital,3148,9112,8522,3071,8430,Microcontroladores,"C,Dart,Delphi,R,Swift","SAP,Spring,Symfony","ElasticSearch,MySQL","Lippia,RSpec,Watir",Xcode,Descuento en gimnasios / Clases de gimnasia online
288,Santiago del Estero,5001-10000,Otras industrias,8494,4454,4371,1959,758,"OpenShift,Serverless","C++,Dart,Java,Solidity,Swift",,"Apache HBase,ElasticSearch,MariaDB","Cypress,Test Complete,Visual Studio Coded UI","Coda,Nano,RStudio,Vim","Abono de Internet,Descuento en gimnasios / Clases de gimnasia online,Stock options / RSUs"
289,Santiago del Estero,5001-10000,Servicios / Consultoría de Software / Digital,8114,9195,9234,5116,6692,"AIX,Heroku,Kubernetes","C#,COBOL,CSS,Dart,Java","Django,Laravel,Rails,SAP","Aerospike,Apache HBase,Amazon RDS/Aurora,HANA,Percona XtraBackup,PostgreSQL","Karma,RSpec,TFS","Atom,TextMate","Abono de celular,Capacitaciones y/o cursos"
290,Salta,1001-2000,Producto basado en Software,9353,3894,9449,6048,3954,Microcontroladores,"Clojure,Go",,MySQL,"Puppeteer,SoapUI,Visual Studio Coded UI,Xunit",Visual Studio,"Abono de Internet,Comidas pagas / subvencionadas,Licencia de paternidad / maternidad extendida,Vacaciones flexibles (adicionales a las reglamentarias)"
291,Córdoba,51-100,Servicios / Consultoría de Software / Digital,4223,1288,5392,7982,1687,"Amazon Web Services,Azure,Heroku,Mainframe,Windows Server","ABAP,Arduino,Javascript,Perl,Python,TypeScript","SAP,Vue.js","Apache Hive,HANA,MySQL,Redis,Sybase","Karma,RSpec,Xunit","Komodo,RStudio,Visual Studio Code","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
292,La Pampa,2-10,Servicios / Consultoría de Software / Digital,9322,9329,5083,2593,7997,Docker,"Groovy,Ruby,Scala","Bootstrap,Cordova,Flutter,SAP","Aerospike,Microsoft SQL Server,MySQL,Redis","Cypress,Jest",Komodo,"Capacitaciones y/o cursos,Comidas pagas / subvencionadas,Licencia de paternidad / maternidad extendida"
293,Santa Fe,2001-5000,Servicios / Consultoría de Software / Digital,2998,444,9299,8345,9105,"AIX,Microcontroladores","Delphi,Go,Javascript,Python,Ruby,Rust",".NET Core,Django,SwiftUI,Spark","Amazon Redshift,Microsoft Azure (Tables, CosmosDB, SQL, etc),Neo4j,Oracle,Percona XtraBackup,Teradata",Ranorex,"IntelliJ,WebStorm,Xcode",
294,Tierra del Fuego,501-1000,Producto basado en Software,9576,441,9866,1764,4360,"IBM Cloud / Watson,Microcontroladores,OpenShift",HTML,"Flutter,SwiftUI","Cassandra,IBM Db2,Informix","Puppeteer,Telerik Studio,Xunit","Vi,WebStorm,Xcode","Abono de Internet,Descuento en gimnasios / Clases de gimnasia online,Cuota para universidad / posgrados,Lactario en la oficina"
295,Misiones,5001-10000,Servicios / Consultoría de Software / Digital,3528,3824,8730,9706,8391,"Microcontroladores,Windows Server","Scala,Smalltalk",".NET Core,Akka,Flask,Hadoop,React.js,Vue.js",ProxySQL,"JUnit,Visual Studio Coded UI","Emacs,IntelliJ",
296,GBA,101-200,Producto basado en Software,7155,2930,8837,2277,8461,"*BSD,Heroku,IBM Cloud / Watson,Microcontroladores,SAP","Clojure,Java,Perl",Spark,"IBM Db2,MongoDB,Percona XtraBackup,SQLite","Mocha,Ranorex,Silktest,Visual Studio Coded UI",Emacs,"Capacitaciones y/o cursos,Horarios flexibles"
297,Provincia de Buenos Aires,11-50,Producto basado en Software,7368,6281,7857,3374,858,"Amazon Web Services,HP-UX,SAP","Python,Rust,TypeScript","Django,Spark","HANA,MySQL,Percona XtraBackup,Percona XtraDB Cluster,SQLite",SoapUI,"Android Studio,Coda,Nano","Comidas pagas / subvencionadas,Licencia de paternidad / maternidad extendida,Stock options / RSUs,Sueldo divido en dos pagos por mes,Vacaciones flexibles (adicionales a las reglamentarias)"
298,Formosa,1001-2000,Otras industrias,2506,2793,376,6278,6545,OpenStack,"Bash/Shell,Groovy,PHP","Cordova,Symfony,Vue.js","Amazon Redshift,Microsoft Azure (Tables, CosmosDB, SQL, etc)","HP LoadRunner,Lippia",RStudio,"Abono de celular,Clases de idiomas,Sueldo divido en dos pagos por mes"
299,Tierra del Fuego,101-200,Otras industrias,3894,1255,3905,8647,4983,"*BSD,Heroku,Linux,Microcontroladores,SAP",".NET,ABAP,C++,Clojure,Kotlin,Perl","Django,Hadoop,Symfony","ElasticSearch,SQLite","Cucumber,HP UFT,Katalon,Mocha,RSpec,TFS",,"Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Sueldo divido en dos pagos por mes"
300,Córdoba,101-200,Producto basado en Software,1679,508,5407,2653,3298,Azure,"Delphi,Solidity",".NET Core,Akka",PostgreSQL,"Mocha,NUnit,Selenium,Silktest,Telerik Studio,Test Complete",IPython / Jupyter,
301,Salta,1 (solamente yo),Otras industrias,2965,5407,8415,4716,2978,"AIX,*BSD,Firebase,Microcontroladores,Mainframe,Solaris,Windows Server","ABAP,COBOL,Python,Rust",".NET Core,CodeIgniter,Rails,TensorFlow","Apache Hive,MariaDB,Percona XtraDB Cluster,ProxySQL",NUnit,"Eclipse,Visual Studio","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
302,San Juan,11-50,Producto basado en Software,6278,1956,2480,4638,3320,"Kubernetes,OpenStack,Solaris,VMWare,Windows Server",Go,"React.js,SwiftUI","Apache Hive,MongoDB,Oracle,Percona XtraDB Cluster","Karma,Ranorex,RSpec,Xunit","IPython / Jupyter,PyCharm,Sublime Text,TextMate,Zend",Clases de idiomas
303,Mendoza,5001-10000,Servicios / Consultoría de Software / Digital,1573,490,4696,9520,3160,Mainframe,.NET,SwiftUI,"Apache Hive,Microsoft Azure (Tables, CosmosDB, SQL, etc)",,"IPython / Jupyter,TextMate,Visual Studio Code","Abono de celular,Estacionamiento gratuito / subvencionado"
304,Formosa,1 (solamente yo),Servicios / Consultoría de Software / Digital,6139,1826,3784,7412,9434,"Firebase,Serverless","Bash/Shell,Delphi","Hibernate,React.js,Spark",SQLite,"HP UFT,JUnit",,"Abono de Internet,Estacionamiento gratuito / subvencionado,Viáticos"
305,Corrientes,2001-5000,Producto basado en Software,6855,9010,5194,6014,3684,"HP-UX,Serverless,VMWare","Arduino,Java,Objective-C,Perl,SQL",Hadoop,Oracle,"JUnit,Watir","IntelliJ,NetBeans,Visual Studio Code,Xcode","Lactario en la oficina,Licencia de paternidad / maternidad extendida"
306,Provincia de Buenos Aires,2-10,Servicios / Consultoría de Software / Digital,4144,1174,5837,3662,3567,"AIX,Kubernetes,VMWare,Windows Server","HTML,SQL,Swift,VBA","Hibernate,Rails","IBM Db2,Microsoft SQL Server,Neo4j","Cucumber,NUnit","Komodo,RStudio,WebStorm",
307,Santiago del Estero,1 (solamente yo),Servicios / Consultoría de Software / Digital,6364,4034,2758,9893,1599,"*BSD,SAP",TypeScript,"Hibernate,React.js,TensorFlow","Microsoft Azure (Tables, CosmosDB, SQL, etc),SQLite","Postman,Puppeteer,RSpec,TFS,Visual Studio Coded UI,Xunit","IPython / Jupyter,Nano,Visual Studio","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Vacaciones flexibles (adicionales a las reglamentarias)"
308,Santiago del Estero,51-100,Servicios / Consultoría de Software / Digital,8553,1854,5749,1831,6282,"Google Cloud Platform/App Engine,Heroku,Mainframe,SAP",".NET,HTML,Swift","Hadoop,Node.js","Cassandra,MySQL,Redis","NUnit,TFS","Emacs,TextMate","Abono de Internet,Clases de idiomas,Sueldo divido en dos pagos por mes,Viáticos"
309,Catamarca,2001-5000,Producto basado en Software,5528,6171,5084,3389,8756,IBM Cloud / Watson,"Go,Elixir,Python,SQL","Django,Rails,Spring",,"JUnit,Lippia","RStudio,Vim",
310,San Luis,101-200,Servicios / Consultoría de Software / Digital,3781,3817,8236,2655,7574,"Amazon Web Services,Serverless,Windows Server","Assembler,C++,Javascript,Python,Scala,VBA","Akka,Bootstrap","Cassandra,Oracle,ProxySQL",Telerik Studio,Vim,Horarios flexibles
311,Santa Cruz,11-50,Otras industrias,8708,347,2645,6632,2588,"Amazon Web Services,HP-UX,Mainframe,OpenStack,SAP","C++,CSS,Go,Matlab,Scala,SQL,VBA",".NET Core,Drupal,Flask,Rails,SAP",,"Postman,Silktest,Telerik Studio,Watir,Xunit","Komodo,Vim",
312,La Rioja,10001+,Servicios / Consultoría de Software / Digital,933,8929,4458,5949,3222,"Google Cloud Platform/App Engine,Linux,Microcontroladores,Mainframe","Assembler,Delphi,Kotlin,Smalltalk","Akka,Cordova,Spring",ProxySQL,"PHPUnit,TFS",WebStorm,Comidas pagas / subvencionadas
313,Jujuy,10001+,Otras industrias,3848,5893,933,1513,6439,"Docker,Linux,Serverless","ABAP,Bash/Shell,COBOL","Bootstrap,Rails","Informix,Microsoft Azure (Tables, CosmosDB, SQL, etc),PostgreSQL,ProxySQL",,"Emacs,Sublime Text,Visual Studio Code,WebStorm","Clases de idiomas,Stock options / RSUs,Sueldo divido en dos pagos por mes"
314,La Rioja,11-50,Producto basado en Software,8629,6944,7893,7886,2935,,"Kotlin,PHP,TypeScript",".NET Core,Flask,React.js",Percona XtraDB Cluster,"HP UFT,JUnit,Silktest,Telerik Studio","Nano,WebStorm,Zend",
315,Tucumán,501-1000,Otras industrias,8460,6617,1787,4054,5857,"*BSD,Linux","Delphi,Elixir","Angular,Flask,Flutter","Microsoft Azure (Tables, CosmosDB, SQL, etc)","NUnit,OpenQA,Postman,Puppeteer,Test Complete","Android Studio,Vim,Visual Studio",
316,Santa Fe,201-500,Otras industrias,9831,5609,4627,7396,424,"*BSD,Docker","ABAP,Delphi,Elixir,Erlang","Spark,Symfony","Aerospike,Amazon DynamoDB",PHPUnit,Coda,Vacaciones flexibles (adicionales a las reglamentarias)
317,La Rioja,101-200,Otras industrias,1470,4158,7333,8040,114,"AIX,Heroku,OpenStack,Windows Server","Dart,Ruby,TypeScript",Flask,Amazon DynamoDB,Postman,Notepad++,Stock options / RSUs
318,Río Negro,1001-2000,Otras industrias,258,5141,8495,4773,3196,"Google Cloud Platform/App Engine,Heroku,HP-UX,Microcontroladores",Perl,,Aerospike,"Cypress,JUnit,OpenQA,PHPUnit","NetBeans,Notepad++,PHPStorm",Abono de Internet
319,Santiago del Estero,10001+,Otras industrias,3303,9080,2423,4272,2985,"Amazon Web Services,Firebase,Google Cloud Platform/App Engine,HP-UX","Assembler,C,Dart,Delphi,Go",Drupal,"Apache Hive,Google Cloud Storage,Percona Server","JUnit,Xunit","IntelliJ,Vim",
320,Santiago del Estero,11-50,Producto basado en Software,9714,7440,5401,5348,6471,"Heroku,IBM Cloud / Watson","Arduino,Assembler,Bash/Shell,Dart,Groovy,HTML,PHP,Python,R","Cordova,Flask,jQuery,Rails,TensorFlow","Apache Hive,MariaDB,MySQL","Karma,TFS","Eclipse,Emacs,Nano",Stock options / RSUs
321,Ciudad Autónoma de Buenos Aires,2001-5000,Otras industrias,7435,4102,5202,1792,9868,"AIX,HP-UX,SAP","COBOL,Dart,Erlang,Java,Perl",Flask,"Amazon DynamoDB,Amazon RDS/Aurora,Google Cloud Storage,Microsoft Azure (Tables, CosmosDB, SQL, etc)","OpenQA,Silktest","Komodo,Sublime Text,Zend","Comidas pagas / subvencionadas,Estacionamiento gratuito / subvencionado,Lactario en la oficina"
322,Tucumán,51-100,Servicios / Consultoría de Software / Digital,4552,3963,2122,9311,857,"Arduino o similar,IBM Cloud / Watson,OpenShift",,Angular,"Apache HBase,Percona XtraDB Cluster,ProxySQL","Appium,HP UFT,SoapUI,Visual Studio Coded UI,Watir","Coda,Komodo,NetBeans,Vi",Comidas pagas / subvencionadas
323,Catamarca,51-100,Servicios / Consultoría de Software / Digital,4714,6427,6780,844,913,"*BSD,Firebase,Heroku,Serverless,VMWare","Dart,Groovy,Javascript,R,TypeScript",,"Apache HBase,IBM Db2,MariaDB,ProxySQL","Appium,RSpec,Telerik Studio","Atom,NetBeans",Vacaciones flexibles (adicionales a las reglamentarias)
324,La Rioja,51-100,Otras industrias,3664,1585,6249,1867,9542,SAP,"Javascript,Python",".NET Core,Torch,Vue.js","Amazon DynamoDB,Cassandra,ElasticSearch,HANA,Microsoft SQL Server","Appium,Jest,Katalon","Coda,IntelliJ,Komodo,RStudio,Xcode","Abono de Internet,Capacitaciones y/o cursos,Stock options / RSUs,Viáticos"
